,0
1925,159.4
1926,159.6
1927,159.8
1928,160.0
1929,160.2
1930,160.4
1931,160.6
1932,160.8
1933,161.0
1934,161.2
1935,161.4
1936,161.6
1937,161.8
1938,162.0
1939,162.2
1940,162.4
1941,162.6
1942,162.8
1943,163.0
1944,163.2
1945,163.4
1946,163.6
1947,163.8
1948,164.0
1949,164.2
1950,164.4
1951,164.6
1952,164.8
1953,165.0
1954,165.2
1955,165.4
1956,165.6
1957,165.8
1958,166.0
1959,166.2
1960,166.4
1961,166.6
1962,166.8
1963,167.0
1964,167.2
1965,167.4
1966,167.6
1967,167.8
1968,168.0
1969,168.2
1970,168.4
1971,168.6
1972,168.8
1973,169.0
1974,169.2
1975,169.4
1976,169.6
1977,169.8
1978,170.0
1979,170.2
1980,170.4
1981,170.6
1982,170.8
1983,171.0
1984,171.2
1985,171.4
1986,171.6
1987,171.8
1988,172.0
1989,172.2
1990,172.4
1991,172.6
1992,172.8
1993,173.0
1994,173.2
1995,173.4
1996,173.6
1997,173.8
1998,174.0
1999,174.2
2000,174.4
2001,174.6
2002,174.8
2003,175.0
2004,175.2
2005,175.4
2006,175.6
2007,175.8
2008,176.0
2009,176.2
2010,176.4
2011,176.6
2012,176.8
2013,177.0
2014,177.2
2015,177.4
2016,177.6
2017,177.8
2018,178.0
2019,178.2
2020,178.4
2021,178.6
2022,178.8
2023,179.0
2024,179.2
2025,179.4
2026,179.6
2027,179.8
2028,180.0
2029,180.2
2030,180.4
2031,180.6
2032,180.8
2033,181.0
2034,181.2
2035,181.4
2036,181.6
2037,181.8
2038,182.0
2039,182.2
2040,182.4
2041,182.6
2042,182.8
2043,183.0
2044,183.2
2045,183.4
2046,183.6
2047,183.8
2048,184.0
2049,184.2
2050,184.4
2051,184.6
2052,184.8
2053,185.0
2054,185.2
2055,185.4
2056,185.6
2057,185.8
2058,186.0
2059,186.2
2060,186.4
2061,186.6
2062,186.8
2063,187.0
2064,187.2
2065,187.4
2066,187.6
2067,187.8
2068,188.0
2069,188.2
2070,188.4
2071,188.6
2072,188.8
2073,189.0
2074,189.2
2075,189.4
2076,189.6
2077,189.8
2078,190.0
2079,190.2
2080,190.4
2081,190.6
2082,190.8
2083,191.0
2084,191.2
2085,191.4
2086,191.6
2087,191.8
2088,192.0
2089,192.2
2090,192.4
2091,192.6
2092,192.8
2093,193.0
2094,193.2
2095,193.4
2096,193.6
2097,193.8
2098,194.0
2099,194.2
2100,194.4
2101,194.6
2102,194.8
2103,195.0
2104,195.2
2105,195.4
2106,195.6
2107,195.8
2108,196.0
2109,196.2
2110,196.4
2111,196.6
2112,196.8
2113,197.0
2114,197.2
2115,197.4
2116,197.6
2117,197.8
2118,198.0
2119,198.2
2120,198.4
2121,198.6
2122,198.8
2123,199.0
2124,199.2
2125,199.4
2126,199.6
2127,199.8
2128,200.0
2129,200.2
2130,200.4
2131,200.6
2132,200.8
2133,201.0
2134,201.2
2135,201.4
2136,201.6
